"Author, Year",Outcome Name,Outcome Measure(s),Outcome Arms Compared,Treatment Definition,Outcome,Value,Effect Size,95% CI,p-value,"[Effect size (95% CI), p-value]"
"Carr, 2012",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Depression,BDI-II,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Depression,BDI-II,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Depression,BDI-II,A vs B,NA,End of Treatment,"LSM -11.92 (-24.05 to 0.21), p=0.0531",LSM -11.92 ,-24.05 to 0.21,p=0.0531,"LSM -11.92 (-24.05 to 0.21), p=0.0531"
"Carr, 2012",Depression,BDI-II,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carr, 2012",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Depression,CES-D,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Depression,CES-D,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Depression,CES-D,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Depression,CES-D,A vs B,partial eta-squared,End of Treatment,"Treatment x Time interaction: partial eta-squared 0.28 (NR), p=0.01",Treatment x Time interaction:  0.28 ,NR,p=0.01,"Treatment x Time interaction:  0.28 (NR), p=0.01"
"Carter, 2013",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Quality of Life,WHOQOL-BREF,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Quality of Life,WHOQOL-BREF,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Quality of Life,WHOQOL-BREF,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Quality of Life,WHOQOL-BREF,A vs B,partial eta-squared,End of Treatment,"Treatment x Time interaction: partial eta-squared <0.00 (NR), p=0.98",Treatment x Time interaction:  <0.00 ,NR,p=0.98,"Treatment x Time interaction:  <0.00 (NR), p=0.98"
"Carter, 2013",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Substance Use,AUDIT,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Substance Use,AUDIT,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Substance Use,AUDIT,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Carter, 2013",Substance Use,AUDIT,A vs B,partial eta-squared,End of Treatment,"Treatment x Time interaction: partial eta-squared <0.00 (NR), p=0.75",Treatment x Time interaction:  <0.00 ,NR,p=0.75,"Treatment x Time interaction:  <0.00 (NR), p=0.75"
"Castillo, 2016",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Quality of Life,QOLI,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Quality of Life,QOLI,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Quality of Life,QOLI,A vs B,NA,End of Treatment,"Group x Time interaction NR (NR), p=0.15",Group x Time interaction NR ,NR,p=0.15,"Group x Time interaction NR (NR), p=0.15"
"Castillo, 2016",Quality of Life,QOLI,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Castillo, 2016",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Depression,BDI-II,A vs B,Eta-squared ,End of Treatment,"Eta-squared 0.58 (NR), p<0.001",0.58,NR,p<0.001,"0.58 (NR), p<0.001"
"Chard, 2005",Depression,BDI-II,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Depression,BDI-II,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Depression,BDI-II,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Chard, 2005",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Anger,Symptom Assessment-45 - Hostility,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Anger,Symptom Assessment-45 - Hostility,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Anger,Symptom Assessment-45 - Hostility,A vs B,NA,End of Treatment,"Treatment x Time interaction: NR (NR), p<0.0001",Treatment x Time interaction: NR ,NR,p<0.0001,"Treatment x Time interaction: NR (NR), p<0.0001"
"Church, 2013",Anger,Symptom Assessment-45 - Hostility,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Anxiety,Symptom Assessment-45 - Anxiety,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Anxiety,Symptom Assessment-45 - Anxiety,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Anxiety,Symptom Assessment-45 - Anxiety,A vs B,NA,End of Treatment,"Treatment x Time interaction: NR (NR), p<0.0001",Treatment x Time interaction: NR ,NR,p<0.0001,"Treatment x Time interaction: NR (NR), p<0.0001"
"Church, 2013",Anxiety,Symptom Assessment-45 - Anxiety,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Depression,Symptom Assessment-45 - Depression,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Depression,Symptom Assessment-45 - Depression,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Depression,Symptom Assessment-45 - Depression,A vs B,NA,End of Treatment,"Treatment x Time interaction: NR (NR), p<0.0001",Treatment x Time interaction: NR ,NR,p<0.0001,"Treatment x Time interaction: NR (NR), p<0.0001"
"Church, 2013",Depression,Symptom Assessment-45 - Depression,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Church, 2013",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Church, 2013",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Church, 2013",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Church, 2013",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Church, 2013",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Classen, 2001",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Cloitre, 2002",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs B,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.27 (NR), p>0.05",0.27,NR,p>0.05," 0.27 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs B,Cohen's d,<6 Months After Treatment,"Cohen's d 0.39 (NR), p>0.05",0.39,NR,p>0.05," 0.39 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs B,Cohen's d,End of Treatment,"Cohen's d 0.29 (NR), p>0.05",0.29,NR,p>0.05," 0.29 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs B vs C (omnibus),NA,6 to <12 Months After Treatment,"Omnibus: treatment effect NR (NR), p=0.03",Omnibus: treatment effect NR ,NR,p=0.03,"Omnibus: treatment effect NR (NR), p=0.03"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs B vs C (omnibus),NA,<6 Months After Treatment,NR,NR,NR,NR,NR
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs B vs C (omnibus),NA,End of Treatment,NR,NR,NR,NR,NR
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs C,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.41 (NR), p>0.05",0.41,NR,p>0.05," 0.41 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs C,Cohen's d,<6 Months After Treatment,"Cohen's d 0.57 (NR), p<0.05",0.57,NR,p<0.05," 0.57 (NR), p<0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,A vs C,Cohen's d,End of Treatment,"Cohen's d 0.62 (NR), p<0.05",0.62,NR,p<0.05," 0.62 (NR), p<0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,B vs C,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.15 (NR), p>0.05",0.15,NR,p>0.05," 0.15 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,B vs C,Cohen's d,<6 Months After Treatment,"Cohen's d 0.18 (NR), p>0.05",0.18,NR,p>0.05," 0.18 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anger,STAXI,B vs C,Cohen's d,End of Treatment,"Cohen's d 0.32 (NR), p>0.05",0.32,NR,p>0.05," 0.32 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs B,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.45 (NR), p>0.05",0.45,NR,p>0.05," 0.45 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs B,Cohen's d,<6 Months After Treatment,"Cohen's d 0.27 (NR), p>0.05",0.27,NR,p>0.05," 0.27 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs B,Cohen's d,End of Treatment,"Cohen's d 0.34 (NR), p>0.05",0.34,NR,p>0.05," 0.34 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs B vs C (omnibus),NA,6 to <12 Months After Treatment,"Treatment x Time interaction NR (NR), p=0.003",Treatment x Time interaction NR ,NR,p=0.003,"Treatment x Time interaction NR (NR), p=0.003"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs B vs C (omnibus),NA,<6 Months After Treatment,NR,NR,NR,NR,NR
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs B vs C (omnibus),NA,End of Treatment,NR,NR,NR,NR,NR
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs C,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.92 (NR), p<0.003",0.92,NR,p<0.003," 0.92 (NR), p<0.003"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs C,Cohen's d,<6 Months After Treatment,"Cohen's d 1.18 (NR), p<0.001",1.18,NR,p<0.001," 1.18 (NR), p<0.001"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,A vs C,Cohen's d,End of Treatment,"Cohen's d 0.17 (NR), p>0.05",0.17,NR,p>0.05," 0.17 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,B vs C,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.46 (NR), p>0.05",0.46,NR,p>0.05," 0.46 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,B vs C,Cohen's d,<6 Months After Treatment,"Cohen's d 0.91 (NR), p<0.05",0.91,NR,p<0.05," 0.91 (NR), p<0.05"
"Cloitre, 2010
(Exemplar)",Anxiety,STAI-S,B vs C,Cohen's d,End of Treatment,"Cohen's d 0.16 (NR), p>0.05",0.16,NR,p>0.05," 0.16 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,A vs B,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.56 (NR), p>0.05",0.56,NR,p>0.05," 0.56 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,A vs B,Cohen's d,<6 Months After Treatment,"Cohen's d 0.22 (NR), p>0.05",0.22,NR,p>0.05," 0.22 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,A vs B,Cohen's d,End of Treatment,"Cohen's d 0.31 (NR), p>0.05",0.31,NR,p>0.05," 0.31 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,A vs C,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.58 (NR), p>0.05",0.58,NR,p>0.05," 0.58 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,A vs C,Cohen's d,<6 Months After Treatment,"Cohen's d 0.45 (NR), p>0.05",0.45,NR,p>0.05," 0.45 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,A vs C,Cohen's d,End of Treatment,"Cohen's d 0.41 (NR), p>0.05",0.41,NR,p>0.05," 0.41 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,B vs C,Cohen's d,6 to <12 Months After Treatment,"Cohen's d 0.02 (NR), p>0.05",0.02,NR,p>0.05," 0.02 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,B vs C,Cohen's d,<6 Months After Treatment,"Cohen's d 0.22 (NR), p>0.05",0.22,NR,p>0.05," 0.22 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Depression,BDI,B vs C,Cohen's d,End of Treatment,"Cohen's d 0.10 (NR), p>0.05",0.1,NR,p>0.05," 0.10 (NR), p>0.05"
"Cloitre, 2010
(Exemplar)",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Cloitre, 2010
(Exemplar)",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Coffey, 2006",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
